Summary,Issue Type,Status,Project name,Project type,Description
Update MariaDB/J 2.7.12,Bug,Resolved,Sakai,software,"[https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.12|https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.12|smart-link] 

[https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.11|https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.11|smart-link] 

[https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.10|https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.10|smart-link] 

[https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.9|https://github.com/mariadb-corporation/mariadb-connector-j/releases/tag/2.7.9|smart-link] 

 "
Update SpotBugs Maven Plugin 4.8.6.2 & license plugin 4.5,Bug,Resolved,Sakai,software,"[https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.0|https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.0|smart-link] 

[https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.1|https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.1|smart-link] 

[https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.2|https://github.com/spotbugs/spotbugs-maven-plugin/releases/tag/spotbugs-maven-plugin-4.8.6.2|smart-link] "
TYPE is a reserved word on Oracle,Bug,Resolved,Sakai,software,TYPE is a reserved word on Oracle. We need to change the column name
Grader/Rubric: Removing rubric with adjusted scores not fully cleared,Bug,Closed,Sakai,software,"This is a follow-up to [https://sakaiproject.atlassian.net/browse/SAK-50019|https://sakaiproject.atlassian.net/browse/SAK-50019|smart-link] but making sure to select *Adjust individual student scores* when associating the rubric with the assignment.

See the test plan for details."
Resources: Display Columns controls not hiding whole columns,Bug,Verified,Sakai,software,"If you select to remove a column from view, the headers all shift left, but the table still shows all of the columns.

!display-columns1.png|width=91.66666666666667%,alt=""display-columns1.png""!



!display-columns2.png|width=91.66666666666667%,alt=""display-columns2.png""!"
"LTI Tool Ignores the ""Always launch in Popup"" setting",Bug,Open,Sakai,software,"Some of our clients who have upgraded from 22.x to 23.2 are reporting that existing LTI tools which had been added as items in the left site navigation are no longer behaving as expected. Even though the â€œAlways launch in Popupâ€ setting is selected, the tools ignore that setting and launch within the content frame anyway. This is problematic because many publisher tools will not operate within a frame, and they require the new window in order to work correctly."
LTI: Pop-up when there are no tools available is oversized for the message displayed,Bug,Verified,Sakai,software,"With the recent changes on 25x to how LTI tools are added in Lessons, ( [https://sakaiproject.atlassian.net/browse/SAK-49560|https://sakaiproject.atlassian.net/browse/SAK-49560|smart-link] ), the pop-up also changed and it now seems to be a static height.

When there are no LTI tools to add on the server, the following message displays:

{quote}There are no External Tools available to this placement. These tools can be Application Stores, Applications that are self-configuring, or Learning Object Repositories.{quote}

In Lessons, the pop-up height is so big that there is a scrollbar on the Lessons page now. In Assignments and when using the CK Editor, the pop-up is still big for this message, but at least it fits into the window without scrollbars.

The pop-up needs to be closed with the 'X' in the upper right corner, there are no buttons to cancel/close at the bottom of the pop-up, so it would be nice if the pop-up height adjusted to the amount of content in the pop-up."
LTI: Cancel on pop-up picker console error: ReferenceError: doreload is not defined,Bug,Verified,Sakai,software,"With [https://sakaiproject.atlassian.net/browse/SAK-49560|https://sakaiproject.atlassian.net/browse/SAK-49560|smart-link] the pop-up picker for LTI tools changed (for any tool that can add an LTI tool) and there is now a console error:

{noformat}BltiPicker?returnVieâ€¦=&id=&forumId=:1094 
 Uncaught 
ReferenceError: doreload is not defined
    at HTMLDivElement.<anonymous> (BltiPicker?returnVieâ€¦d=&forumId=:1094:11)
    at Object.trigger (event-handler.js:292:15)
    at modal.js:251:20
    at v (index.js:254:5)
    at backdrop.js:93:7
    at v (index.js:254:5)
    at HTMLDivElement.r (index.js:276:5)
    at a (index.js:98:11)
    at index.js:282:7
{noformat}"
Lessons: Invalid character error when adding a pre-requisite ,Bug,Resolved,Sakai,software,Invalid character error displayed even when valid character (a number) is input as a prerequisite.Â 
Message-ID does not contain angle brackets,Bug,Closed,Sakai,software,"Message-ID must be in format <id@hostname> 

Bug introduced in [https://sakaiproject.atlassian.net/browse/SAK-45971|https://sakaiproject.atlassian.net/browse/SAK-45971|smart-link]

see [https://datatracker.ietf.org/doc/html/rfc2392#section-2|https://datatracker.ietf.org/doc/html/rfc2392#section-2|smart-link] "
Update OpenSearch 1.3.17,Bug,Resolved,Sakai,software,"2024-05-30 Version 1.3.17 Release Notes
Upgrades
OpenJDK Update (April 2024 Patch releases), update to Eclipse Temurin 11.0.23+9 (#13406)
Upgrade BouncyCastle dependencies from 1.75 to 1.78.1 resolving [CVE-2024-30172], [CVE-2024-30171] and [CVE-2024-29857]
Bump netty from 4.1.109.Final to 4.1.110.Final (#13802)

1.3.16
@github-actions github-actions released this Apr 23
Â· 3540 commits to main since this release
 1.3.16
 1870e73
2024-04-18 Version 1.3.16 Release Notes
Upgrades
Bump netty from 4.1.107.Final to 4.1.109.Final (#12924, #13233)

2024-03-01 Version 1.3.15 Release Notes
Upgrades
Bump netty from 4.1.100.Final to 4.1.104.Final (#11294, #11775), #12034)
Bump netty from 4.1.106.Final to 4.1.107.Final (#12372)
Bump org.apache.kerby:kerb-admin from 1.0.1 to 2.0.3 (#12194)"
Library Centralize Bootstrap Tooltip Initialization,Bug,Open,Sakai,software,"To improve maintainability and reduce redundancy in Sakai, centralize the initialization of Bootstrap tooltips. Instead of repeatedly adding the following code snippet across different parts of the application, initialize tooltips in a single, central location:"
Upgrade mockito version,Feature Request,Resolved,Sakai,software,Upgrade mockito version
Samigo TA should only see assessments that are assigned to the entire site or those assessments that belong to the groups they are a part of,Bug,In Progress,Sakai,software,Samigo TA should only see assessments assignt to all site or assessment from the groups which does belong to
"LTI Remove the ""allow settings"" checkbox from the New Tool UI",Improvement,Verified,Sakai,software,"The â€œAllow External Tool to store setting dataâ€ feature in Sakai has a long history of almost being a good thing.  We added a Sakai extension to use XML to store setting data LTI 2.0 had a JSON based settings service - and none of these ever â€œstuckâ€ long term.  Sakai has compatibility code (which will not be removed until later) 0 but the checkbox will be removed from the UI.  It wonâ€™t be removed from the service code, nor from the database at this time - just from the UI to reduce confusion.  It could be re-activated at any time - but it is doubtful."
LTI Update Windows Post Message Documentation,Improvement,Closed,Sakai,software,"The use of windows post messages in LTI has been evolving over the past decade.  The original work was done in Canvas along with an ex-Canvas employee who worked at Lumen Learning who wanted iframes to be really great from a UI perspective.  An informal ad hoc spec was created and some sample code was shared.  Ironically much of the original work was started at a meeting in North Quad at the University of Michigan School of Information and over lunch at the Jerk Pit. 

The early message types were supported in Canvas, Sakai, and Moodle.  Several of the message types like â€˜lti.frameResizeâ€™ became pretty widely supported because it was so useful and so easy to implement.

Over time, the actual 1EdTech specs started using post messages to solve little problems like the need to close the dynamic registration popup at the end of the process and handling the increasingly challenging â€œcookie in an iframe problemâ€.

The Sakai documentation has lagged behind Sakaiâ€™s support for these messages - so this Jira catches things up documentation-wise.  There is no functionality change except some code that was put in to support features that never arrives in any LMS and were never used in Sakai."
